일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가격
2010-05-30,18.9,15.0,23.4,0.0,2.2,59.4,1844
2010-05-31,17.3,14.3,20.0,1.5,2.2,65.5,1658
2010-06-01,19.1,12.1,26.2,0.0,2.1,45.0,1618
2010-06-02,21.0,14.8,26.6,0.0,1.9,48.1,1618
2010-06-03,21.1,16.2,26.5,0.0,2.7,57.5,1764
2010-06-04,22.3,16.6,27.9,0.0,2.3,52.0,1764
2010-06-05,23.3,17.9,28.4,0.0,2.4,50.1,1764
2010-06-06,24.9,19.0,30.9,0.0,1.8,43.6,1764
2010-06-07,25.4,20.9,31.4,0.2,2.0,47.0,1664
2010-06-08,25.7,19.3,31.8,0.0,2.1,34.1,1664
2010-06-09,26.0,20.5,30.6,0.0,2.1,42.3,1664
2010-06-10,26.5,21.7,32.7,0.0,1.8,46.8,1604
2010-06-11,25.6,21.6,31.2,0.0,2.2,44.3,1604
2010-06-12,17.9,16.9,22.0,71.0,2.5,91.5,1604
2010-06-13,22.0,17.5,27.2,18.0,1.8,81.3,1604
2010-06-14,22.8,20.0,26.4,10.5,1.9,80.6,1544
2010-06-15,24.4,20.7,29.7,0.0,2.0,70.8,1544
2010-06-16,22.3,20.2,25.6,0.5,2.4,75.3,1544
2010-06-17,24.0,20.9,27.6,0.0,1.6,73.1,1498
2010-06-18,25.9,22.8,31.1,0.4,2.1,67.5,1498
2010-06-19,23.0,21.5,25.8,4.5,2.2,79.1,1498
2010-06-20,23.0,20.8,27.0,0.0,2.5,74.9,1498
2010-06-21,22.2,18.1,27.8,0.0,2.3,69.0,1498
2010-06-22,21.6,18.4,25.2,0.0,2.3,50.8,1498
2010-06-23,23.0,16.7,28.6,0.0,2.0,53.6,1498
2010-06-24,24.4,18.5,30.8,0.0,1.7,54.8,1604
2010-06-25,26.7,20.3,32.5,0.0,1.9,50.1,1604
2010-06-26,24.8,21.4,27.2,3.5,2.7,59.9,1604
2010-06-27,21.8,20.9,23.3,9.5,2.6,85.5,1604
2010-06-28,24.6,19.7,30.5,0.0,2.1,67.9,1664
2010-06-29,23.9,21.4,27.2,0.0,1.8,74.0,1664
2010-06-30,22.8,20.6,24.8,9.5,1.4,81.1,1664
2010-07-01,26.1,21.9,30.7,0.0,1.8,72.1,1664
2010-07-02,24.9,23.8,25.9,58.0,1.7,89.0,1704
2010-07-03,24.1,22.5,25.7,5.5,1.4,88.1,1704
2010-07-04,26.5,23.4,29.9,0.0,2.2,72.0,1704
2010-07-05,26.1,23.1,30.8,0.0,2.8,74.1,1584
2010-07-06,26.0,21.7,31.6,0.0,3.2,61.6,1724
2010-07-07,25.6,22.4,29.6,0.0,2.7,68.0,1724
2010-07-08,24.7,21.9,29.6,0.1,1.9,64.6,1584
2010-07-09,24.9,21.2,29.8,0.5,2.3,64.4,1584
2010-07-10,25.6,21.7,29.2,0.0,1.5,64.6,1584
2010-07-11,23.8,22.2,26.5,0.5,2.6,67.8,1584
2010-07-12,25.1,21.0,28.6,0.0,1.9,61.3,1584
2010-07-13,26.1,22.0,31.3,1.5,2.0,67.5,1584
2010-07-14,24.8,21.8,27.7,1.0,1.9,74.0,1584
2010-07-15,26.0,22.7,30.0,0.0,2.1,67.8,1604
2010-07-16,23.7,21.6,27.7,57.0,2.0,83.4,1604
2010-07-17,23.2,22.1,24.2,89.5,2.6,89.8,1604
2010-07-18,25.9,23.1,29.1,2.0,3.8,74.0,1604
2010-07-19,26.7,25.0,30.1,0.0,3.9,73.3,1684
2010-07-20,28.2,24.1,32.3,0.0,2.3,68.1,1684
2010-07-21,27.8,26.3,29.7,0.0,3.6,68.5,1744
2010-07-22,27.1,25.9,29.6,0.5,4.7,74.3,1552
2010-07-23,24.4,23.0,25.9,4.5,2.6,84.0,1552
2010-07-24,25.6,23.6,29.3,1.0,2.0,80.0,1552
2010-07-25,26.0,23.5,30.0,0.5,2.7,77.6,1552
2010-07-26,25.4,23.0,28.6,16.5,2.9,80.4,1532
2010-07-27,26.9,24.4,30.8,0.0,2.8,69.4,1532
2010-07-28,27.0,23.7,31.2,0.0,2.2,69.6,1532
2010-07-29,26.8,24.7,30.6,0.5,2.3,75.5,1684
2010-07-30,27.0,25.1,30.8,0.1,2.7,74.9,1684
2010-07-31,27.0,24.9,30.1,0.0,3.6,77.3,1684
2010-08-01,27.5,26.1,31.0,0.0,3.5,78.5,1684
2010-08-02,27.3,25.4,31.8,25.0,2.3,77.3,1684
2010-08-03,27.6,24.0,32.1,0.0,1.8,59.4,1684
2010-08-04,28.1,25.8,31.9,16.5,1.4,72.1,1684
2010-08-05,29.2,26.0,33.8,0.5,2.9,74.5,1664
2010-08-06,28.3,26.3,31.0,3.5,3.8,76.3,1664
2010-08-07,26.2,24.3,28.2,83.5,2.2,86.4,1664
2010-08-08,27.3,24.0,31.6,0.0,2.0,70.5,1664
2010-08-09,28.6,24.1,33.3,0.0,1.9,62.9,1724
2010-08-10,26.5,24.9,29.8,24.5,2.2,82.4,1724
2010-08-11,28.2,25.0,32.7,2.5,2.6,73.9,1724
2010-08-12,23.7,21.7,26.7,5.5,3.0,78.6,1704
2010-08-13,26.0,21.5,29.6,62.0,2.1,85.9,1704
2010-08-14,26.9,25.3,29.1,7.0,2.5,84.4,1704
2010-08-15,26.6,24.6,30.2,49.5,4.0,80.5,1704
2010-08-16,24.8,22.8,26.7,0.1,2.1,78.3,1704
2010-08-17,26.3,21.0,31.8,0.0,1.3,65.4,1704
2010-08-18,26.0,22.2,31.2,19.5,2.0,81.9,1704
2010-08-19,28.5,24.7,32.9,0.0,2.0,72.5,1764
2010-08-20,28.6,25.5,32.2,0.5,2.1,71.9,1764
2010-08-21,28.6,25.1,32.1,0.0,2.1,69.3,1764
2010-08-22,28.7,25.4,32.5,0.1,3.4,69.8,1764
2010-08-23,26.4,23.7,29.1,21.0,3.6,84.3,1744
2010-08-24,23.7,21.9,25.9,9.5,1.5,85.4,1744
2010-08-25,21.6,19.9,22.5,50.5,2.8,89.0,1744
2010-08-26,24.0,21.1,26.7,10.0,2.7,87.4,1744
2010-08-27,25.8,23.8,31.8,92.5,2.2,81.9,1824
2010-08-28,25.5,24.7,27.2,12.5,2.5,83.3,1824
2010-08-29,23.7,21.7,26.0,99.0,1.6,91.8,1824
2010-08-30,25.8,23.1,29.9,1.5,1.9,73.3,1764
2010-08-31,24.9,22.2,27.2,2.0,1.4,80.1,1764
2010-09-01,26.0,22.8,31.4,14.5,2.7,81.6,1904
2010-09-02,24.0,22.2,26.2,37.0,4.9,83.8,1704
2010-09-03,25.4,22.8,30.0,3.0,2.1,82.4,1704
2010-09-04,26.8,23.3,31.2,0.0,2.0,75.8,1704
2010-09-05,25.1,23.1,30.7,49.5,2.1,83.3,1704
2010-09-06,25.5,22.6,30.0,0.0,2.1,77.3,1624
2010-09-07,26.3,22.8,30.8,0.0,4.1,56.5,1724
2010-09-08,22.7,21.6,24.3,0.0,3.3,48.8,1724
2010-09-09,20.9,19.0,22.5,90.5,2.6,88.0,1466
2010-09-10,24.0,22.4,25.8,74.5,4.5,92.0,1466
2010-09-11,23.7,22.4,26.1,68.5,1.4,90.9,1466
2010-09-12,22.8,21.0,26.1,15.5,1.7,85.4,1466
2010-09-13,23.9,20.9,27.9,0.0,2.0,76.3,1466
2010-09-14,24.0,21.1,28.6,0.0,1.5,71.1,1566
2010-09-15,24.7,19.2,30.5,0.0,1.8,56.8,1566
2010-09-16,24.5,19.2,30.0,0.0,2.1,61.8,1864
2010-09-17,24.3,20.1,28.9,0.0,2.3,66.4,1864
2010-09-18,25.2,21.8,30.3,0.0,2.4,58.4,1864
2010-09-19,20.8,18.3,23.8,17.5,2.1,83.4,1864
2010-09-20,21.7,18.2,26.0,25.5,2.2,82.3,1864
2010-09-21,21.4,17.9,24.9,259.5,2.5,93.1,1864
2010-09-22,16.7,14.4,18.8,0.5,2.1,81.9,1864
2010-09-23,17.0,12.1,22.8,0.0,1.7,62.6,1864
2010-09-24,17.6,11.9,23.2,0.0,1.7,61.5,1704
2010-09-25,18.6,13.6,24.1,0.0,1.6,59.5,1704
2010-09-26,18.6,15.2,24.2,0.0,1.8,60.4,1704
2010-09-27,19.0,14.9,23.9,15.5,2.7,73.9,1684
2010-09-28,15.6,12.4,18.6,0.0,3.0,49.8,1684
2010-09-29,13.0,9.8,16.8,0.0,1.6,61.1,1684
2010-09-30,14.6,8.4,20.7,0.0,1.6,61.5,1604
2010-10-01,16.0,10.8,21.4,0.0,1.8,66.1,1544
2010-10-02,16.0,13.7,18.6,15.0,2.9,79.0,1544
2010-10-03,17.0,14.4,21.4,7.0,3.2,78.5,1544
2010-10-04,14.0,12.4,16.7,3.0,2.6,77.1,1704
2010-10-05,15.0,11.2,19.7,0.0,1.6,70.8,1704
2010-10-06,16.1,11.2,22.1,0.0,1.7,70.3,1864
2010-10-07,17.3,11.9,23.8,0.0,1.7,69.0,1484
2010-10-08,18.9,15.1,23.2,0.0,2.2,65.3,1484
2010-10-09,19.4,15.4,24.2,0.0,2.4,66.5,1484
2010-10-10,18.5,14.3,22.8,0.0,2.1,73.1,1484
2010-10-11,18.3,15.6,21.2,0.0,1.8,80.4,1484
2010-10-12,16.6,13.8,19.2,0.1,2.4,76.1,1344
2010-10-13,15.7,12.9,19.6,0.0,1.6,73.1,1344
2010-10-14,15.7,12.6,20.4,0.5,2.2,70.0,1504
2010-10-15,13.1,9.3,16.9,0.0,2.8,49.5,1504
2010-10-16,16.0,10.2,21.6,0.0,2.8,62.0,1504
2010-10-17,15.6,12.1,19.9,0.0,2.0,54.0,1504
2010-10-18,13.9,9.0,19.3,0.0,1.4,47.1,1644
2010-10-19,15.9,11.0,21.7,0.0,2.0,58.1,1644
2010-10-20,15.2,12.7,19.5,0.0,1.8,71.3,1644
2010-10-21,15.8,10.2,21.9,0.0,1.8,64.5,1664
2010-10-22,16.9,12.8,22.4,0.0,2.2,59.3,1664
2010-10-23,15.9,11.7,20.2,0.0,1.8,65.0,1664
2010-10-24,17.2,13.6,23.4,0.0,2.0,62.9,1664
2010-10-25,9.9,4.4,15.1,0.0,4.7,46.9,1604
2010-10-26,4.0,0.9,8.2,0.0,3.4,26.3,1604
2010-10-27,5.6,0.7,10.1,0.0,2.1,35.3,1604
2010-10-28,7.2,2.1,12.3,0.0,1.9,37.5,1290
2010-10-29,9.6,3.4,16.7,0.0,1.9,37.4,1290
2010-10-30,11.7,6.4,17.8,0.0,1.7,43.6,1290
2010-10-31,12.0,7.1,17.0,0.0,2.0,52.6,1290
2010-11-01,11.4,6.8,16.7,0.0,3.1,52.3,1230
2010-11-02,5.0,2.5,9.2,0.0,3.8,33.8,1230
2010-11-03,7.2,0.8,12.6,0.0,2.1,52.8,1230
2010-11-04,10.6,5.7,16.0,0.0,2.4,66.6,1644
2010-11-05,11.2,7.0,15.1,0.0,2.0,80.1,1644
2010-11-06,12.7,11.1,14.8,0.0,2.0,83.1,1644
2010-11-07,12.3,10.8,14.3,2.0,1.8,74.0,1644
2010-11-08,7.0,1.8,11.4,0.5,5.3,62.5,1644
2010-11-09,2.9,1.2,6.5,0.0,5.3,41.8,1704
2010-11-10,4.1,-0.5,9.1,0.0,1.9,37.9,1704
2010-11-11,9.3,3.2,15.1,1.0,4.2,46.5,1604
2010-11-12,8.9,6.2,12.6,0.4,3.4,58.0,1604
2010-11-13,11.1,5.8,17.4,0.0,3.3,56.5,1604
2010-11-14,5.8,3.0,12.4,0.0,3.5,39.9,1604
2010-11-15,1.4,-1.6,5.1,0.0,2.9,37.0,1604
2010-11-16,3.7,-1.4,8.8,0.0,2.6,54.4,1604
2010-11-17,6.5,3.0,11.3,0.0,2.0,62.4,1624
2010-11-18,6.5,1.9,12.0,0.0,1.8,56.0,1524
2010-11-19,5.9,2.4,10.9,0.0,1.9,60.1,1524
2010-11-20,7.9,4.1,13.4,0.0,2.5,58.1,1524
2010-11-21,11.0,6.1,15.6,0.0,3.0,64.4,1524
2010-11-22,6.2,1.9,13.1,5.0,3.8,51.6,1524
2010-11-23,5.9,-0.6,12.8,0.0,1.9,44.9,1524
2010-11-24,6.3,3.7,10.7,0.0,1.8,62.1,1524
2010-11-25,3.1,-1.0,6.1,0.0,3.2,50.9,1524
2010-11-26,0.4,-3.0,4.7,0.0,2.4,32.5,1524
2010-11-27,1.3,-2.7,9.1,1.0,4.2,47.3,1524
2010-11-28,-1.3,-5.2,2.0,1.0,3.0,44.6,1524
2010-11-29,3.2,-0.8,7.8,0.0,1.9,61.4,1584
2010-11-30,7.3,4.1,12.5,0.0,1.7,75.1,1584
2010-12-01,7.2,5.3,10.4,0.0,2.2,81.4,1502
2010-12-02,9.5,5.5,13.5,0.3,3.0,70.0,1418
2010-12-03,0.0,-2.7,7.8,0.0,5.1,50.8,1418
2010-12-04,1.7,-3.6,5.0,0.0,2.7,54.3,1418
2010-12-05,8.2,4.9,10.7,0.0,1.8,68.3,1418
2010-12-06,3.0,-3.2,10.2,0.0,4.0,58.9,1418
2010-12-07,-0.7,-4.8,4.6,0.0,2.4,37.4,1444
2010-12-08,0.4,-2.1,2.2,2.5,2.4,73.5,1444
2010-12-09,-1.8,-4.3,2.3,0.0,2.3,56.3,1384
2010-12-10,2.9,-2.8,10.1,1.5,4.2,59.8,1384
2010-12-11,-3.5,-6.2,6.7,0.0,4.4,38.4,1384
2010-12-12,-1.2,-6.6,3.7,0.0,3.5,31.4,1384
2010-12-13,3.7,1.7,6.1,0.0,2.4,38.1,1384
2010-12-14,-4.0,-10.1,1.8,0.0,4.7,43.3,1384
2010-12-15,-10.5,-12.7,-7.3,0.0,3.9,37.8,1404
2010-12-16,-7.7,-12.9,-4.1,0.0,2.0,46.1,1624
2010-12-17,-2.1,-5.5,2.6,1.4,3.0,74.5,1624
2010-12-18,0.1,-4.6,5.0,0.0,2.7,51.4,1624
2010-12-19,4.9,0.7,8.3,0.4,2.5,67.9,1624
2010-12-20,4.1,1.6,8.8,0.0,1.8,71.0,1744
2010-12-21,4.9,0.9,10.8,0.0,1.9,49.1,1784
2010-12-22,4.0,0.3,8.3,0.0,1.7,61.6,1744
2010-12-23,-1.9,-9.5,4.5,0.0,4.0,52.0,1564
2010-12-24,-12.3,-15.1,-9.0,0.0,4.4,36.1,1444
2010-12-25,-11.2,-14.3,-6.7,0.0,4.4,40.5,1444
2010-12-26,-9.3,-13.6,-5.1,0.0,2.8,47.9,1444
2010-12-27,-4.9,-9.4,-2.1,0.2,2.3,72.3,1458
2010-12-28,-2.6,-6.0,-0.1,6.0,2.7,80.8,1458
2010-12-29,-5.7,-9.4,-2.1,0.1,2.2,55.4,1458
2010-12-30,-6.1,-9.0,-3.6,3.7,3.8,70.4,1564
2010-12-31,-8.7,-10.7,-6.2,0.0,3.1,57.3,1564
2011-01-01,-6.8,-10.4,-2.9,0.0,1.9,61.0,1564
2011-01-02,-5.4,-8.5,-1.2,0.0,1.9,62.3,1564
2011-01-03,-4.5,-8.5,-0.3,0.0,2.1,66.4,1738
2011-01-04,-3.9,-7.4,-1.7,0.0,2.2,66.4,1738
2011-01-05,-4.0,-7.7,-1.8,0.0,3.8,62.9,1738
2011-01-06,-7.6,-9.8,-4.6,0.0,2.9,53.5,1538
