일시,가격
2010-05-11,1804
2010-05-12,1804
2010-05-13,1724
2010-05-14,1584
2010-05-15,1584
2010-05-16,1584
2010-05-17,1604
2010-05-18,1604
2010-05-19,1604
2010-05-20,1704
2010-05-21,1704
2010-05-22,1704
2010-05-23,1704
2010-05-24,1824
2010-05-25,1884
2010-05-26,1884
2010-05-27,1844
2010-05-28,1844
2010-05-29,1844
2010-05-30,1844
2010-05-31,1658
2010-06-01,1618
2010-06-02,1618
2010-06-03,1764
2010-06-04,1764
2010-06-05,1764
2010-06-06,1764
2010-06-07,1664
2010-06-08,1664
2010-06-09,1664
2010-06-10,1604
2010-06-11,1604
2010-06-12,1604
2010-06-13,1604
2010-06-14,1544
2010-06-15,1544
2010-06-16,1544
2010-06-17,1498
2010-06-18,1498
2010-06-19,1498
2010-06-20,1498
2010-06-21,1498
2010-06-22,1498
2010-06-23,1498
2010-06-24,1604
2010-06-25,1604
2010-06-26,1604
2010-06-27,1604
2010-06-28,1664
2010-06-29,1664
2010-06-30,1664
2010-07-01,1664
2010-07-02,1704
2010-07-03,1704
2010-07-04,1704
2010-07-05,1584
2010-07-06,1724
2010-07-07,1724
2010-07-08,1584
2010-07-09,1584
2010-07-10,1584
2010-07-11,1584
2010-07-12,1584
2010-07-13,1584
2010-07-14,1584
2010-07-15,1604
2010-07-16,1604
2010-07-17,1604
2010-07-18,1604
2010-07-19,1684
2010-07-20,1684
2010-07-21,1744
2010-07-22,1552
2010-07-23,1552
2010-07-24,1552
2010-07-25,1552
2010-07-26,1532
2010-07-27,1532
2010-07-28,1532
2010-07-29,1684
2010-07-30,1684
2010-07-31,1684
2010-08-01,1684
2010-08-02,1684
2010-08-03,1684
2010-08-04,1684
2010-08-05,1664
2010-08-06,1664
2010-08-07,1664
2010-08-08,1664
2010-08-09,1724
2010-08-10,1724
2010-08-11,1724
2010-08-12,1704
2010-08-13,1704
2010-08-14,1704
2010-08-15,1704
2010-08-16,1704
2010-08-17,1704
2010-08-18,1704
2010-08-19,1764
2010-08-20,1764
2010-08-21,1764
2010-08-22,1764
2010-08-23,1744
2010-08-24,1744
2010-08-25,1744
2010-08-26,1744
2010-08-27,1824
2010-08-28,1824
2010-08-29,1824
2010-08-30,1764
2010-08-31,1764
2010-09-01,1904
2010-09-02,1704
2010-09-03,1704
2010-09-04,1704
2010-09-05,1704
2010-09-06,1624
2010-09-07,1724
2010-09-08,1724
2010-09-09,1466
2010-09-10,1466
2010-09-11,1466
2010-09-12,1466
2010-09-13,1466
2010-09-14,1566
2010-09-15,1566
2010-09-16,1864
2010-09-17,1864
2010-09-18,1864
2010-09-19,1864
2010-09-20,1864
2010-09-21,1864
2010-09-22,1864
2010-09-23,1864
2010-09-24,1704
2010-09-25,1704
2010-09-26,1704
2010-09-27,1684
2010-09-28,1684
2010-09-29,1684
2010-09-30,1604
2010-10-01,1544
2010-10-02,1544
2010-10-03,1544
2010-10-04,1704
2010-10-05,1704
2010-10-06,1864
2010-10-07,1484
2010-10-08,1484
2010-10-09,1484
2010-10-10,1484
2010-10-11,1484
2010-10-12,1344
2010-10-13,1344
2010-10-14,1504
2010-10-15,1504
2010-10-16,1504
2010-10-17,1504
2010-10-18,1644
2010-10-19,1644
2010-10-20,1644
2010-10-21,1664
2010-10-22,1664
2010-10-23,1664
2010-10-24,1664
2010-10-25,1604
2010-10-26,1604
2010-10-27,1604
2010-10-28,1290
2010-10-29,1290
2010-10-30,1290
2010-10-31,1290
2010-11-01,1230
2010-11-02,1230
2010-11-03,1230
2010-11-04,1644
2010-11-05,1644
2010-11-06,1644
2010-11-07,1644
2010-11-08,1644
2010-11-09,1704
2010-11-10,1704
2010-11-11,1604
2010-11-12,1604
2010-11-13,1604
2010-11-14,1604
2010-11-15,1604
2010-11-16,1604
2010-11-17,1624
2010-11-18,1524
2010-11-19,1524
2010-11-20,1524
2010-11-21,1524
2010-11-22,1524
2010-11-23,1524
2010-11-24,1524
2010-11-25,1524
2010-11-26,1524
2010-11-27,1524
2010-11-28,1524
2010-11-29,1584
2010-11-30,1584
2010-12-01,1502
2010-12-02,1418
2010-12-03,1418
2010-12-04,1418
2010-12-05,1418
2010-12-06,1418
2010-12-07,1444
2010-12-08,1444
2010-12-09,1384
2010-12-10,1384
2010-12-11,1384
2010-12-12,1384
2010-12-13,1384
2010-12-14,1384
2010-12-15,1404
2010-12-16,1624
2010-12-17,1624
2010-12-18,1624
2010-12-19,1624
2010-12-20,1744
2010-12-21,1784
2010-12-22,1744
2010-12-23,1564
2010-12-24,1444
2010-12-25,1444
2010-12-26,1444
2010-12-27,1458
2010-12-28,1458
2010-12-29,1458
2010-12-30,1564
2010-12-31,1564
2011-01-01,1564
2011-01-02,1564
2011-01-03,1738
2011-01-04,1738
2011-01-05,1738
2011-01-06,1538
2011-01-07,1538
2011-01-08,1538
2011-01-09,1538
2011-01-10,1543
2011-01-11,1543
2011-01-12,1543
2011-01-13,1677
2011-01-14,1677
2011-01-15,1677
2011-01-16,1677
2011-01-17,1677
2011-01-18,1743
2011-01-19,1743
2011-01-20,1793
2011-01-21,1793
2011-01-22,1793
2011-01-23,1793
2011-01-24,1665
2011-01-25,1722
2011-01-26,1722
2011-01-27,1665
2011-01-28,1665
2011-01-29,1665
2011-01-30,1665
2011-01-31,1942
2011-02-01,1912
2011-02-02,1912
2011-02-03,1912
2011-02-04,1912
2011-02-05,1912
2011-02-06,1912
2011-02-07,2297
2011-02-08,1997
2011-02-09,2047
2011-02-10,1845
2011-02-11,1795
2011-02-12,1795
2011-02-13,1795
2011-02-14,1922
2011-02-15,1938
2011-02-16,1938
2011-02-17,2092
2011-02-18,2077
2011-02-19,2077
2011-02-20,2077
2011-02-21,2018
